Mass,CC11Pre1_Oct,CC11Pre2_Jul,CC11Pre2_Oct,CC11Pre3_Jul,CC11Pre3_Oct,CC15Post_Oct,CC15Pre_Oct,CC20Post_Oct,CC20Pre_Oct,Coal11Post1_Jun,Coal11Post2_Jun,Coal11Post3_Jun,Coal11Pre1_Jun,Coal11Pre2_Jun,Coal11Pre3_Jun,Coal20Post1_Jun,Coal20Post2_Jun,Coal20Post3_Jun,Coal20Pre1_Jun,Coal20Pre2_Jun,Coal20Pre3_Jun,CC11Post_Oct,CC11Post1_Jul,CC11Post2_Jul,CC11Post3_Jul,CC11Pre1_Jul
200.048939332011,0,0,0,0,0,0,0,0,928254.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.08707349957,0,0,0,0,0,0,0,0,0,882560.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.09279431154,0,2552170.8,1251070.1,1777012.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258399.6,1214329,1250654.6,2284432.3
200.129170483993,1530502.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.201438067665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209833.9,0
200.233836893377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881425.3,0,0,0,0,0,0,0
200.239779796636,1179791.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.249214392035,0,0,0,1192327.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.299012930893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892547,0,0,0,0,0,0,0,0,0,0
200.345419886836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073321.3,0,0,0,0,0,0
200.494349779726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915712.9,0,0,0,0,0,0
200.49705871518,0,0,0,0,0,0,0,0,0,969193.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.501288129589,0,0,0,0,0,0,0,0,0,0,0,1001872.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.557669009259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955823.6,0,0,0,0,0,0,0,0,0,0
200.595448706987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941361.6,0,0,0,0,0,0
200.625358727101,0,0,0,0,0,0,0,0,0,0,946290.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.720710163307,0,1184736.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.805439646081,3397568.5,3903399.8,3725631.8,2678988,3238379.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3251034.5,1628495.4,2697638.5,1746672.6
200.834603892881,0,0,0,0,0,0,0,0,0,894508.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.907802115417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002473.3,0,0,0,0,0,0,0,0,0,0
200.919976473343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943870.4,0,0,0,0,0,0
200.921360472346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893487.1,0,0,0,0,0,0
200.922104683094,0,0,0,0,0,1792852.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.937936848021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560315.8,1180517.1,0,0,0
200.940025843519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193666.3
200.977290863917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145192.1,0,0,0
200.989213584605,0,0,0,0,0,894524.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.993226889428,0,0,0,0,0,0,0,0,0,0,884150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.016941162978,0,0,0,0,0,0,906304.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.040456947613,0,1490491,0,1139944,0,1692826.1,0,972650,0,1032698.3,0,0,0,0,0,0,0,940139.4,0,0,0,1023033,4676461,6108011,5956541,1720335.4
201.059542419106,0,0,0,0,0,0,0,996309.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.074282170317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167296.4,0
201.076824592743,1466326.9,2157246,1376471.4,2950636.3,1482365.6,1682095.4,1066884.6,1971296.1,1267930,0,954926.9,0,0,0,0,1049915.5,0,1072445.1,0,0,0,1770222.8,2557040,3457903,4204480.5,2632724.3
201.095698172423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983268.8,0,0,0,0,0,0,0,0,0,0
201.101488419744,0,0,0,0,0,886861.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.113200197264,1653337.8,2428097,1921114.5,1530096.6,1885440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453892.5,1626738.8,1673331.4,2425028,1633944.9
201.157128197455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916485.1,0,0,0,0,0,0,0,0,0
201.181875002964,0,0,0,0,0,0,910460.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.232645876824,0,0,0,0,0,0,0,0,0,0,0,0,1118687.6,0,0,0,0,0,0,0,0,0,0,0,0,0
201.238263544827,0,0,0,0,0,0,0,0,0,0,0,894465.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.251558245044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890915.6,0,0,0,0,0,0,0,0,0
201.259868240966,0,0,0,0,0,0,0,0,0,0,0,0,0,965928.8,0,0,0,0,0,0,0,0,0,0,0,0
201.294961783339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886775.3,0,0,0,0,0,0,0,0
201.354917395047,0,0,0,0,0,0,0,1020202.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.460943670425,0,0,0,0,0,0,0,0,0,0,0,906258.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.505879695777,0,0,0,0,0,0,0,0,0,0,0,952537.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.533484434628,0,1155361.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.541159131483,0,0,0,0,0,0,0,0,0,0,947875.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.54983672058,0,0,0,0,0,0,0,0,0,0,0,932463.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.68642751927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950171.2,0,0,0,0,0,0,0,0,0,0,0
201.728957364741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997419.3,0,0,0,0,0,0,0,0,0,0
201.780343511721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923497.4,0,0,0,0,0,0,0,0,0
201.799620030222,2009615.3,1752053.9,1757075.5,1315007.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1549734.3,0,1296259.5,0
201.80201282989,29829392,38337528,32349076,22725184,29751338,0,0,0,932435.2,0,1034740.3,1276063.8,0,0,913045.4,1039807.4,0,0,0,1121565.5,0,0,25661350,18514882,29690884,13752689
201.820704739178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929549.4,0,0,0,0
201.840364734669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915641.3,0,0,0,0
201.856211327642,0,0,0,0,0,0,0,0,0,0,0,0,930489,0,0,0,0,0,0,0,0,0,0,0,0,0
201.886245412554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978921,0,0,0,0,0,0,0,0,0,0
201.959368434788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968333.2,0,0,0,0,0,0,0,0,0,0
201.964229488801,0,0,0,0,0,0,0,0,0,898092.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.037024667317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915713.5,0,0,0,0,0,0
202.040404123082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886749.7,0,0,0,0,0,0,0,0,0,0,0
202.05739728452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977636.8,0,0,0,0,0
202.061390279019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918566.8,0,0,0,0,0
202.072094154715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334238.9,1472539.6,0
202.072628366575,0,0,0,0,0,0,0,0,0,0,894418.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.095758558311,0,0,0,0,0,0,0,0,0,939667.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.101046025822,0,1169675.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.108438846255,3231782.3,1179276.4,1658795.9,1338466,1738300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346940.3,1731042.9,1736222.9,1497494.4
202.154639494183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922446,0,0,0,0,0,0,0,0,0,0
202.165751327744,0,0,0,0,0,0,0,885412.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.185168655385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908265.6,0,0,0,0
202.190600556283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016253.6,0,0,0,0,0,0
202.224888322763,0,0,0,0,0,0,0,923744.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.249665115775,0,0,0,0,0,0,0,0,0,0,0,895204.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
